,Unnamed: 0,MAC Cosmetics,bareMinerals,L'Oreal Paris,Physicians Formula,Jane Iredale,320-35,19-24,44-55,56 & Over,36-43,25-29,18 & Under
0,MAC Cosmetics,0.0,20.0,20.0,20.0,20.0,3.4838446419999998,2.320641638,6.335225521,12.51481926,4.25155767,2.537989766,2.3494692930000003
1,bareMinerals,20.0,0.0,20.0,20.0,20.0,2.479203209,2.7661962260000004,3.203881739,3.524159825,2.71762065,2.7663978210000004,3.420299118
2,L'Oreal Paris,20.0,20.0,0.0,20.0,20.0,2.897346958,2.920453376,1.9821444869999998,1.612620205,2.7128312039999996,3.448895665,2.262035823
3,Physicians Formula,20.0,20.0,20.0,0.0,20.0,3.3720422930000002,2.621295548,3.5239387680000003,2.351793396,3.659414204,3.243696672,1.7592012019999999
4,Jane Iredale,20.0,20.0,20.0,20.0,0.0,1.842520816,4.538206454,1.6648165869999998,1.3652695680000002,1.841547742,2.626202646,14.99820725
5,320-35,3.4838446419999998,2.479203209,2.897346958,3.3720422930000002,1.842520816,0.0,20.0,20.0,20.0,20.0,20.0,20.0
6,19-24,2.320641638,2.7661962260000004,2.920453376,2.621295548,4.538206454,20.0,0.0,20.0,20.0,20.0,20.0,20.0
7,44-55,6.335225521,3.203881739,1.9821444869999998,3.5239387680000003,1.6648165869999998,20.0,20.0,0.0,20.0,20.0,20.0,20.0
8,56 & Over,12.51481926,3.524159825,1.612620205,2.351793396,1.3652695680000002,20.0,20.0,20.0,0.0,20.0,20.0,20.0
9,36-43,4.25155767,2.71762065,2.7128312039999996,3.659414204,1.841547742,20.0,20.0,20.0,20.0,0.0,20.0,20.0
10,25-29,2.537989766,2.7663978210000004,3.448895665,3.243696672,2.626202646,20.0,20.0,20.0,20.0,20.0,0.0,20.0
11,18 & Under,2.3494692930000003,3.420299118,2.262035823,1.7592012019999999,14.99820725,20.0,20.0,20.0,20.0,20.0,20.0,0.0
